instance_class,instance_name,instance_directory,mps_path,std_path,data_path,mps_file_count,std_file_count,data_file_count,data_error,mnes_keys_present,mnes_success,oss_keys_present,oss_success,highs_mps_success,highs_std_success,cond_mnes,cond_oss,cycle_count_mnes,cycle_count_mnes_recomputed_from_split,cycle_count_oss,cycle_count_oss_recomputed_from_split,epsilon,qlsa_cycles_mnes,qlsa_cycles_oss,qlsa_fraction_of_total_mnes,qlsa_fraction_of_total_oss,qlsa_time_800ps_mnes_seconds,qlsa_time_800ps_oss_seconds,qlsa_time_800ps_over_highs_std_mnes,qlsa_time_800ps_over_highs_std_oss,runtime_glpk,runtime_highs_mps,runtime_highs_std,sparsity_mnes,sparsity_oss,std_m,std_n,tomography_factor_mnes,tomography_factor_oss,tomography_repetition_cycles_mnes,tomography_repetition_cycles_oss,tomography_repetition_fraction_of_total_mnes,tomography_repetition_fraction_of_total_oss,total_time_800ps_mnes_seconds,total_time_800ps_oss_seconds,total_time_800ps_over_highs_std_mnes,total_time_800ps_over_highs_std_oss
clique,erdos_renyi_80_0.8.dimac_clq,cache_dir/clique/erdos_renyi_80_0.8.dimac_clq,cache_dir/clique/erdos_renyi_80_0.8.dimac_clq/erdos_renyi_80_0.8.dimac_clq.mps,cache_dir/clique/erdos_renyi_80_0.8.dimac_clq/erdos_renyi_80_0.8.dimac_clq.std,cache_dir/clique/erdos_renyi_80_0.8.dimac_clq/erdos_renyi_80_0.8.dimac_clq.data,1,1,1,,True,True,True,True,True,True,38.125154694303255,6.174557044380045,301123206399,301123206399,92820419999,92820419999,0.1,4102496,569800,1.3623978201680122e-05,6.138735420569512e-06,0.0032819968,0.00045584,0.6768496892814467,0.09400836782109437,0.00429,0.003457791870459914,0.004848930053412914,735,736,735,815,73399.99999999999,162899.99999999997,301119103903,92819850199,0.9999863760217983,0.9999938612645795,240.89856511920001,74.2563359992,49680.76719309321,15313.963117891288
clique,erdos_renyi_80_0.9.dimac_clq,cache_dir/clique/erdos_renyi_80_0.9.dimac_clq,cache_dir/clique/erdos_renyi_80_0.9.dimac_clq/erdos_renyi_80_0.9.dimac_clq.mps,cache_dir/clique/erdos_renyi_80_0.9.dimac_clq/erdos_renyi_80_0.9.dimac_clq.std,cache_dir/clique/erdos_renyi_80_0.9.dimac_clq/erdos_renyi_80_0.9.dimac_clq.data,1,1,1,,True,True,True,True,True,True,21.884243397743486,4.678059789885491,46927907199,46927907199,20912507999,20912507999,0.1,1170272,217160,2.493765586088053e-05,1.0384215992189182e-05,0.0009362176,0.000173728,0.2375651386870312,0.0440834656535196,0.002849,0.0030664210207760334,0.0039408879820257425,402,403,402,482,40099.99999999999,96299.99999999999,46926736927,20912290839,0.9999750623441391,0.9999896157840078,37.542325759200004,16.7300063992,9526.362061146952,4245.237742230938
clique,erdos_renyi_80_1.0.dimac_clq,cache_dir/clique/erdos_renyi_80_1.0.dimac_clq,cache_dir/clique/erdos_renyi_80_1.0.dimac_clq/erdos_renyi_80_1.0.dimac_clq.mps,cache_dir/clique/erdos_renyi_80_1.0.dimac_clq/erdos_renyi_80_1.0.dimac_clq.std,cache_dir/clique/erdos_renyi_80_1.0.dimac_clq/erdos_renyi_80_1.0.dimac_clq.data,1,1,1,,True,True,True,True,True,True,0.9999999999999998,0.9999999999999999,49548799,49548799,202883999,202883999,0.1,6272,6360,0.00012658228103571188,3.1347962536956894e-05,5.0176e-06,5.088e-06,0.0018438660546815301,0.0018697366243262965,0.0,0.0019013769924640656,0.0027212388813495636,80,81,80,160,7899.999999999998,31899.999999999993,49542527,202877639,0.9998734177189643,0.999968652037463,0.039639039200000004,0.1623071992,14.566541538000342,59.64459802202511
clique,erdos_renyi_90_0.1.dimac_clq,cache_dir/clique/erdos_renyi_90_0.1.dimac_clq,cache_dir/clique/erdos_renyi_90_0.1.dimac_clq/erdos_renyi_90_0.1.dimac_clq.mps,cache_dir/clique/erdos_renyi_90_0.1.dimac_clq/erdos_renyi_90_0.1.dimac_clq.std,cache_dir/clique/erdos_renyi_90_0.1.dimac_clq/erdos_renyi_90_0.1.dimac_clq.data,1,1,1,,True,True,True,True,True,True,163.8228779563308,12.799331152694299,41286377305599,41286377305599,5543570199999,5543570199999,0.1,110925248,7270256,2.6867275658248906e-06,1.3114754098363022e-06,0.0887401984,0.0058162048000000004,6.299574576498057,0.41288634182032624,0.014106,0.006124255945906043,0.014086697017773986,3723,3724,3723,3813,372199.99999999994,762499.9999999999,41286266380351,5543562929743,0.9999973132724341,0.9999986885245902,33029.1018444792,4434.8561599992,2344701.65737252,314825.83563794196
clique,erdos_renyi_90_0.2.dimac_clq,cache_dir/clique/erdos_renyi_90_0.2.dimac_clq,cache_dir/clique/erdos_renyi_90_0.2.dimac_clq/erdos_renyi_90_0.2.dimac_clq.mps,cache_dir/clique/erdos_renyi_90_0.2.dimac_clq/erdos_renyi_90_0.2.dimac_clq.std,cache_dir/clique/erdos_renyi_90_0.2.dimac_clq/erdos_renyi_90_0.2.dimac_clq.data,1,1,1,,True,True,True,True,True,True,146.20740977768594,12.091625605256137,28788097619199,28788097619199,4109803455999,4109803455999,0.1,86868128,6035840,3.017501508750859e-06,1.4686444411811475e-06,0.0694945024,0.004828672,5.33581905554348,0.37074760133211987,0.012395,0.00560245499946177,0.013024148996919394,3315,3316,3315,3405,331399.99999999994,680899.9999999999,28788010751071,4109797420159,0.9999969824984912,0.9999985313555588,23030.4780953592,3287.8427647992003,1768290.4350070478,252442.041746979
clique,erdos_renyi_90_0.3.dimac_clq,cache_dir/clique/erdos_renyi_90_0.3.dimac_clq,cache_dir/clique/erdos_renyi_90_0.3.dimac_clq/erdos_renyi_90_0.3.dimac_clq.mps,cache_dir/clique/erdos_renyi_90_0.3.dimac_clq/erdos_renyi_90_0.3.dimac_clq.std,cache_dir/clique/erdos_renyi_90_0.3.dimac_clq/erdos_renyi_90_0.3.dimac_clq.data,1,1,1,,True,True,True,True,True,True,128.56093900017683,11.338471634227286,19194932687999,19194932687999,2938300835199,2938300835199,0.1,65961968,4896352,3.436426116838667e-06,1.6663889351780375e-06,0.052769574400000005,0.0039170816,4.533599477480923,0.33652875348962713,0.01753,0.005061938194558024,0.011639663949608803,2911,2912,2911,3001,290999.99999999994,600099.9999999999,19194866726031,2938295938847,0.9999965635738831,0.9999983336110648,15355.9461503992,2350.6406681592002,1319277.4479468798,201950.90496905652
clique,erdos_renyi_90_0.4.dimac_clq,cache_dir/clique/erdos_renyi_90_0.4.dimac_clq,cache_dir/clique/erdos_renyi_90_0.4.dimac_clq/erdos_renyi_90_0.4.dimac_clq.mps,cache_dir/clique/erdos_renyi_90_0.4.dimac_clq/erdos_renyi_90_0.4.dimac_clq.std,cache_dir/clique/erdos_renyi_90_0.4.dimac_clq/erdos_renyi_90_0.4.dimac_clq.data,1,1,1,,True,True,True,True,True,True,111.50519723694458,10.55960213440566,12212329875199,12212329875199,2020875750399,2020875750399,0.1,48538672,3876608,3.974562798092535e-06,1.918281220027805e-06,0.038830937600000004,0.0031012864,3.749567203289863,0.29946435734399796,0.011228,0.0047618430107831955,0.01035611191764474,2517,2518,2517,2607,251599.99999999994,521299.9999999999,12212281336527,2020871873791,0.9999960254372019,0.99999808171878,9769.8639001592,1616.7006003192,943391.1083476521,156110.76948334888
clique,erdos_renyi_90_0.5.dimac_clq,cache_dir/clique/erdos_renyi_90_0.5.dimac_clq,cache_dir/clique/erdos_renyi_90_0.5.dimac_clq/erdos_renyi_90_0.5.dimac_clq.mps,cache_dir/clique/erdos_renyi_90_0.5.dimac_clq/erdos_renyi_90_0.5.dimac_clq.std,cache_dir/clique/erdos_renyi_90_0.5.dimac_clq/erdos_renyi_90_0.5.dimac_clq.data,1,1,1,,True,True,True,True,True,True,94.06498031706268,9.698710239875336,7134981153599,7134981153599,1297170425599,1297170425599,0.1,33687352,2936768,4.721435316336828e-06,2.2639800769770677e-06,0.0269498816,0.0023494144,2.9508130214420842,0.25724352734386563,0.013546,0.004608568036928773,0.009133036015555263,2119,2120,2119,2209,211799.99999999997,441699.99999999994,7134947466247,1297167488831,0.9999952785646836,0.999997736019923,5707.9849228792,1037.7363404792,624982.1979413459,113624.46602769785
clique,erdos_renyi_90_0.6.dimac_clq,cache_dir/clique/erdos_renyi_90_0.6.dimac_clq,cache_dir/clique/erdos_renyi_90_0.6.dimac_clq/erdos_renyi_90_0.6.dimac_clq.mps,cache_dir/clique/erdos_renyi_90_0.6.dimac_clq/erdos_renyi_90_0.6.dimac_clq.std,cache_dir/clique/erdos_renyi_90_0.6.dimac_clq/erdos_renyi_90_0.6.dimac_clq.data,1,1,1,,True,True,True,True,True,True,76.88471018631274,8.768392679751106,3721118543999,3721118543999,757825304799,757825304799,0.1,21684840,2097496,5.827505827507394e-06,2.7677830058159965e-06,0.017347872,0.0016779968,2.2438733889539555,0.21704174242638477,0.007574,0.004237115848809481,0.007731216959655285,1717,1718,1717,1807,171599.99999999997,361299.99999999994,3721096859159,757823207303,0.9999941724941724,0.9999972322169942,2976.8948351992003,606.2602438392,385048.6735443953,78417.18153854935
clique,erdos_renyi_90_0.7.dimac_clq,cache_dir/clique/erdos_renyi_90_0.7.dimac_clq,cache_dir/clique/erdos_renyi_90_0.7.dimac_clq/erdos_renyi_90_0.7.dimac_clq.mps,cache_dir/clique/erdos_renyi_90_0.7.dimac_clq/erdos_renyi_90_0.7.dimac_clq.std,cache_dir/clique/erdos_renyi_90_0.7.dimac_clq/erdos_renyi_90_0.7.dimac_clq.data,1,1,1,,True,True,True,True,True,True,58.93374670873018,7.676831814539782,1595082979199,1595082979199,378523603999,378523603999,0.1,12194824,1353320,7.645259938842714e-06,3.5752592063019015e-06,0.0097558592,0.001082656,1.4917414054670544,0.16554592988358618,0.005469,0.003753388999029994,0.006539913127198815,1309,1310,1309,1399,130799.99999999997,279699.99999999994,1595070784375,378522250679,0.9999923547400612,0.9999964247407936,1276.0663833592,302.8188831992,195119.7758349684,46303.196588316736
clique,erdos_renyi_90_0.8.dimac_clq,cache_dir/clique/erdos_renyi_90_0.8.dimac_clq,cache_dir/clique/erdos_renyi_90_0.8.dimac_clq/erdos_renyi_90_0.8.dimac_clq.mps,cache_dir/clique/erdos_renyi_90_0.8.dimac_clq/erdos_renyi_90_0.8.dimac_clq.std,cache_dir/clique/erdos_renyi_90_0.8.dimac_clq/erdos_renyi_90_0.8.dimac_clq.data,1,1,1,,True,True,True,True,True,True,42.79007136139141,6.541412031158977,553714898399,553714898399,159215143999,159215143999,0.1,5973192,782384,1.0787486515661337e-05,4.9140049140357775e-06,0.0047785536,0.0006259072,0.9076063097852936,0.11888060103794708,0.005947,0.003593501867726445,0.0052650070283561945,928,929,928,1018,92699.99999999999,203499.99999999997,553708925207,159214361615,0.9999892125134844,0.999995085995086,442.9719187192,127.37211519920001,84135.10491694477,24192.202311070283
clique,erdos_renyi_90_0.9.dimac_clq,cache_dir/clique/erdos_renyi_90_0.9.dimac_clq,cache_dir/clique/erdos_renyi_90_0.9.dimac_clq/erdos_renyi_90_0.9.dimac_clq.mps,cache_dir/clique/erdos_renyi_90_0.9.dimac_clq/erdos_renyi_90_0.9.dimac_clq.std,cache_dir/clique/erdos_renyi_90_0.9.dimac_clq/erdos_renyi_90_0.9.dimac_clq.data,1,1,1,,True,True,True,True,True,True,23.9526082562522,4.894140195810925,82310291999,82310291999,34447067199,34447067199,0.1,1642920,291184,1.996007984056186e-05,8.453085376407692e-06,0.0013143360000000002,0.00023294720000000002,0.31681312592457345,0.05615058143988812,0.003477,0.003208013018593192,0.00414861598983407,502,503,502,592,50099.99999999999,118299.99999999997,82308649079,34446776015,0.9999800399201595,0.9999915469146236,65.8482335992,27.5576537592,15872.337608628291,6642.613784145929
